"","Domain","Phylum","Class","Order","Family","Genus","Species"
"db177fa88938dccbaeb8ab1e45668329","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"8ae5fe1e2084ad6a832b7667b15e06d2","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"c3884cc19bb52d9cdb714947c26faec6","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"811fcd800f94f056f269df2036ee7f35","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"c509fb65310fbc2a77665cceceb02002","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"fd340012a48f589fc7e728044af6fd05","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"acad06ee3f93a814a6ea29147db58a93","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"4f03a7e52fb8fdc77c9b8cba3fdac580","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"3eb648074627be71394f1ff86a52f3dc","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"fd9c1679a88028d4cb8faf99f56df061","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Peptococcales"," f__Peptococcaceae"," g__Peptococcus",NA
"1931428dc68364adc8fe052083595af7","d__Bacteria",NA,NA,NA,NA,NA,NA
"cfc148e3453958e65476e4fb78d57498","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"88bce2d9c671d4194bbbdc45297ce7e4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__[Eubacterium]_siraeum_group",NA
"85a237faf96d1cdfafcf47f30e9cb3b3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Faecalibacterium",NA
"32262a7de5e1b0f9a3643c8e1e2a8f73","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"1566cec69b1eec6076a07413ed62ce8b","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"b64db9021431853f6dfa03e564f88ac9","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"b998b0e227c8e1069d8450e5f2bf00dc","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"700455caef637c941623ea42e0267c52","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Lachnospirales"," f__Lachnospiraceae"," g__Lachnospiraceae_UCG-010",NA
"d3b19bf66bd982596c3d2870bdccc6ae","d__Bacteria"," p__Actinomycetota"," c__Coriobacteriia"," o__Coriobacteriales"," f__Atopobiaceae"," g__Fannyhessea",NA
"aab58c910afd16e16ed2372d1bdf7df2","d__Bacteria"," p__Bacillota",NA,NA,NA,NA,NA
"52a8d122cb5a53f616e29d2756495344","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"89d5d9c3396d912d428f7b679fdb73f9","d__Bacteria"," p__Bacillota"," c__Desulfitobacteriia"," o__Desulfitobacteriales"," f__Incertae_Sedis"," g__Incertae_Sedis",NA
"b8ab70e50da97c1ee7c3c72d3969abaf","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Clostridia_vadinBB60_group"," f__Incertae_Sedis"," g__Incertae_Sedis",NA
"278d9ce03091c55971fb20964c5dc051","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Incertae_Sedis",NA
"421242570a22c8ae46b54d05978fc0b5","d__Bacteria"," p__Bacillota"," c__Clostridia",NA,NA,NA,NA
"9e1933b237fd96d97851d9982761c22c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"237037aa92e44b4228e7fadedaab42d8","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"dd0e60136027d54b14a719136c0c41f4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"8da02268d019fcbe1c17e21f37d817ea","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"debc5aca30cc7c4d0291dbc06018a1de","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"74284ecb20e33b6f9b55c9618efff88c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"663999b4a58cf3d83d6ea5de8794a29c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"25c4331321a6c7b8cbd08427d08cd4f5","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"d4debe4c70fe5b905a42e3561015b680","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"03a8370d0c8307545b8e6b82fc2f1287","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"614c116b2d223b4fa4649cb6cf0ff07b","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"058495e87050b35d7b291ec2db6a84ac","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"dd4ebf114b3cd46f29df8d1e71759fd4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"a6512f12c63f98f7eaecb47b64cc746c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"058e0544208b02bfdff575c936e6e7e1","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"fd1d934aaeeefbf01fd70a364dcd65d4","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
"d8c0e5be0325c53a571303b7107f0c2a","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"e640cc0942a7df55786489bc6b295de0","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"b453b56a3e2a5effb5b6f81a580163b2","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"49aaaff192caa86f2fc32298802123b2","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"5643964b005b31e5e64dec4c16658220","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"c4e41e89afdacb4bb337f08580d93a6b","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"740bc14b796029c9dea4e43adbec9d8c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Gemmiger",NA
"202e99a149a6d0b435dffc0e092bb37c","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"b78ec0ad8c0b10a3df621fd8ac369b79","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae",NA,NA
"aa5ca8a3431af04329664ca8e55e6dc8","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Anaerofilum",NA
"c0b6f0baefc22d93b0c78e15665d05f3","d__Bacteria"," p__Bacillota"," c__Clostridia"," o__Oscillospirales"," f__Ruminococcaceae"," g__Subdoligranulum",NA
